DATE,DRFAPGACBN
1987-01-01,10.76
1987-04-01,8.15
1987-07-01,6.96
1987-10-01,6.87
1988-01-01,7.51
1988-04-01,5.67
1988-07-01,5.14
1988-10-01,4.82
1989-01-01,5.73
1989-04-01,4.59
1989-07-01,3.95
1989-10-01,3.87
1990-01-01,5.09
1990-04-01,3.69
1990-07-01,3.29
1990-10-01,3.30
1991-01-01,4.41
1991-04-01,3.49
1991-07-01,3.07
1991-10-01,3.35
1992-01-01,4.58
1992-04-01,3.47
1992-07-01,3.22
1992-10-01,3.02
1993-01-01,4.22
1993-04-01,2.87
1993-07-01,2.44
1993-10-01,2.37
1994-01-01,3.38
1994-04-01,2.35
1994-07-01,2.04
1994-10-01,2.14
1995-01-01,3.20
1995-04-01,2.43
1995-07-01,2.10
1995-10-01,2.29
1996-01-01,3.80
1996-04-01,3.03
1996-07-01,2.49
1996-10-01,2.70
1997-01-01,3.64
1997-04-01,2.54
1997-07-01,2.17
1997-10-01,2.19
1998-01-01,3.50
1998-04-01,2.61
1998-07-01,2.32
1998-10-01,2.48
1999-01-01,4.13
1999-04-01,3.09
1999-07-01,2.43
1999-10-01,2.33
2000-01-01,3.35
2000-04-01,2.39
2000-07-01,2.13
2000-10-01,2.30
2001-01-01,3.26
2001-04-01,2.48
2001-07-01,2.46
2001-10-01,2.32
2002-01-01,3.14
2002-04-01,2.42
2002-07-01,2.27
2002-10-01,2.21
2003-01-01,3.23
2003-04-01,2.53
2003-07-01,2.29
2003-10-01,1.95
2004-01-01,2.39
2004-04-01,1.66
2004-07-01,1.37
2004-10-01,1.30
2005-01-01,1.79
2005-04-01,1.28
2005-07-01,1.07
2005-10-01,1.05
2006-01-01,1.40
2006-04-01,1.03
2006-07-01,0.93
2006-10-01,1.09
2007-01-01,1.47
2007-04-01,1.32
2007-07-01,0.99
2007-10-01,1.05
2008-01-01,1.34
2008-04-01,1.08
2008-07-01,1.03
2008-10-01,1.31
2009-01-01,2.16
2009-04-01,2.10
2009-07-01,2.24
2009-10-01,2.98
2010-01-01,3.48
2010-04-01,3.27
2010-07-01,2.91
2010-10-01,2.48
2011-01-01,2.73
2011-04-01,2.19
2011-07-01,1.84
2011-10-01,1.69
2012-01-01,1.87
2012-04-01,1.52
2012-07-01,1.60
2012-10-01,1.26
2013-01-01,1.44
2013-04-01,1.16
2013-07-01,1.06
2013-10-01,0.93
2014-01-01,1.29
2014-04-01,0.99
2014-07-01,0.77
2014-10-01,0.57
2015-01-01,1.07
2015-04-01,0.83
2015-07-01,0.66
2015-10-01,0.80
2016-01-01,1.41
2016-04-01,1.09
2016-07-01,1.15
2016-10-01,1.23
2017-01-01,1.95
2017-04-01,1.46
2017-07-01,1.40
2017-10-01,1.32
2018-01-01,2.05
2018-04-01,1.68
2018-07-01,1.55
2018-10-01,1.52
2019-01-01,2.12
2019-04-01,1.82
